"Always","Immer"
"Category","Kategorie"
"Change Frequency","Veränderungsfrequenz"
"Daily","Täglich"
"Exclude from Sitemap","Von Sitemap ausschließen"
"Execution","Ausführung"
"Export","Exportieren"
"File Name","Dateiname"
"General","Allgemein"
"Generate Main Sitemap","Haupt Sitemap generieren"
"Hourly","Stündlich"
"In case website/store specific files are generated.","Für den Fall, dass Dateien für einzelne websites/stores erstellt werden."
"Monthly","Monatlich"
"Never","Nie"
"Priority","Priorität"
"Product","Produkt"
"Weekly","Wöchentlich"
"Yearly","Jährlich"
